idhm_l,ODS_6_1,ODS_6_4,ODS_6_6,ODS_6_7,ODS_6_8,classe
0.689,82.244,34.530,100,100,100,3
0.732,734.482,24.320,88.580,88.580,0.01,1
0.738,31.220,51.860,90.740,78.150,100,2
0.699,0.01,16.350,88.970,49.860,100,2
0.679,137.741,12.440,98.870,91.070,100,3
0.748,84.412,9.970,87.510,87.060,100,4
0.697,86.777,21.660,58.410,56.800,100,2
0.764,16.977,23.850,79.620,66.260,100,3
0.713,72.299,65.680,97.610,97.610,0.01,1
0.768,51.910,37.340,98.820,98.820,100,3
0.651,172.144,26.370,72.750,58.260,100,2
0.709,11.324,0.01,100,99.660,95.040,4
0.657,31.551,15.680,65.280,55.040,100,2
0.737,60.457,23.960,60.990,55.580,99.470,2
0.792,9.311,36.070,98.490,98.220,97.500,3
0.743,219.979,14.630,96.250,95.560,100,3
0.744,14.325,37.430,100,98.820,29.580,2
0.665,99.651,38.750,66.740,66.140,100,2
0.708,6.987,28.100,100,93.090,70,2
0.726,232.279,12.370,100,100,100,3
0.700,120.163,29.950,93.130,92.830,99.720,3
0.742,20.092,20.550,100,96.900,54.430,2
0.682,94.802,19.960,99.920,99.700,100,3
0.690,35.358,10.040,88.160,87.270,100,4
0.701,31.646,10.740,99.600,99.600,100,4
0.732,17.973,0.380,100,100,100,4
0.729,223.829,1.400,99.890,99.890,100,3
0.735,245.201,19.730,89.420,89.420,89.990,3
0.647,0.01,30.630,69.860,63.060,100,2
0.703,38.610,77.950,92.490,90.020,0.01,1
0.742,0.01,0,99.890,99.890,100,4
0.727,162.123,40.250,94.780,94.780,100,2
0.700,171.999,17.220,98.370,96.480,100,3
0.617,16.918,20.210,90.040,48.280,100,2
0.666,92.838,18.850,87.270,86.190,100,3
0.738,13.173,20,100,99.910,100,3
0.734,21.144,39.800,100,97.310,100,3
0.778,32.399,34.450,100,99.700,100,3
0.668,222.668,0.01,0,0.01,0,1
0.699,421.089,20.460,92.430,91.700,100,2
0.732,307.301,20.460,84.040,88.300,100,2
0.764,35.280,53.010,90.910,84.550,60,2
0.688,37.707,12.910,79.450,76.850,100,3
0.679,0.01,27.420,100,63.750,100,3
0.734,49.722,40.040,92.060,90.160,100,3
0.666,0.01,15.310,99.250,99.250,100,3
0.769,31.437,27.540,100,94.640,100,3
0.710,0.01,14.560,100,93.500,100,3
0.702,0.01,20.630,49.480,37.980,0.01,1
0.764,105.231,14,100,99.550,100,3
0.762,429.956,11.630,100,100,100,2
0.713,247.525,14.520,94.950,93.320,100,3
0.724,0.01,9.460,97.760,95.460,100,4
0.672,78.125,13.130,100,100,100,3
0.741,19.603,24.370,77.030,34.520,100,2
0.689,83.264,13.910,77.710,75.870,100,3
0.708,0.01,3.460,100,100,0.01,2
0.697,321.716,8.180,76.510,75.820,100,2
0.727,317.982,17.490,96.860,96.410,100,3
0.678,0.01,9.450,100,99.910,100,4
0.741,273.618,5.730,88.990,88.990,89.140,3
0.708,66.509,15.460,100,99.930,100,3
0.848,10.670,36.350,94,90,100,3
0.719,357.915,49.870,100,100,100,2
0.690,0.01,21.850,51.620,33.120,97.090,1
0.721,51.032,9.440,94.880,94.880,95.380,4
0.755,13.092,32.480,97.950,35.340,36.250,1
0.720,4.875,32.900,95.810,91.630,100,3
0.722,18.479,57.620,86.940,78.250,71,2
0.840,37.448,30.880,96.970,89.240,97.290,3
0.717,26.292,32.760,100,100,100,3
0.726,22.249,17.240,88.520,83.850,100,3
0.686,54.171,9.430,94.850,95.020,100,4
0.720,8.900,18.580,96.190,95.510,91.900,3
0.772,103.841,28.870,100,100,100,3
0.695,0.01,8.320,86.080,85.790,100,4
