idhm_l,ODS_6_1,ODS_6_4,ODS_6_6,ODS_6_7,ODS_6_8,classe
0.713,507.328,53.870,92.150,88.600,100,1
0.704,57.097,17.520,95.320,95.320,100,3
0.720,26.976,47.950,90.090,90.090,100,3
0.689,16.088,26.990,98.290,95.720,100,3
0.699,84.887,0.01,98.790,97.900,92.880,4
0.725,11.099,24.430,77.500,69.310,100,3
0.754,16.112,15.270,89.820,98.800,0.01,2
0.704,32.632,13.950,87.340,85.810,100,3
0.653,107.875,32.530,94.300,87.870,100,3
0.728,0.01,30,53.420,53.420,100,2
0.746,8.166,13.460,96.630,91.190,0.01,2
0.705,41.107,0.01,100,100,100,4
0.789,15.378,31.740,100,55.750,48.070,2
0.737,39.349,26.200,97.510,97.510,100,3
0.723,11.471,28.470,72.260,72.260,100,3
0.698,97.752,19.290,93.210,91.450,100,3
0.742,226.472,59.240,100,97.450,3.100,1
0.716,25.831,46.940,85.210,55.040,100,2
0.672,74.561,0.01,55.650,29.270,50,1
0.740,85.520,27.400,90.540,89.350,41.670,2
0.717,39.601,31.120,100,93.890,55.130,2
0.686,55.586,6.890,83.550,80.710,100,3
0.720,144.326,21.390,76.260,67.750,89.820,3
0.691,55.494,20.350,97.770,97.770,100,3
0.725,141.756,45.280,94.690,94.340,100,2
0.699,0.01,7.400,100,99.010,100,4
0.718,11.264,28.930,100,98.790,100,3
0.752,333.737,35.410,100,92.340,100,2
0.716,56.302,20.330,100,99.500,100,3
0.720,69.839,0.01,0,0.01,0,1
0.719,0.01,20.300,100,98.520,100,3
0.633,6.433,31.400,49.370,45.900,100,1
0.701,0.01,20.390,89.330,86.690,100,3
0.711,54.098,41.190,91.610,91.610,100,3
0.723,40.833,48.160,100,100,80.020,2
0.700,14.103,35.270,100,77.380,55,2
0.713,34.334,33.580,86.020,39.520,100,2
0.690,495.817,19.640,92.160,92,100,2
0.720,9.412,45.710,73.140,73.140,100,2
0.784,11.243,29.100,89.510,89.040,100,3
0.675,20.500,30.470,85.790,85.790,100,3
0.716,26.300,40.160,88.050,88.050,0.01,1
0.693,144.404,8.420,97.470,96.680,100,3
0.712,629.528,11.500,100,96.830,100,2
0.663,53.619,21.320,68.770,60.400,100,3
0.699,99.564,28.490,93.460,91.650,100,3
0.746,34.518,12.980,100,99.310,100,3
0.767,92.216,13.310,100,99.800,100,3
0.668,57.904,13.130,64.270,64.100,100,3
0.691,13.740,28.150,100,84.840,56,2
0.668,69.930,17.420,97.060,95.310,100,3
0.710,103.448,11.930,94.660,94.310,100,4
0.702,270.453,23.810,72.370,71.770,100,2
0.678,0.01,21.600,91.440,89.600,100,3
0.749,10.115,26.100,100,99.600,100,3
0.659,13.511,43,99.730,49.570,0.01,1
0.702,5.751,38.790,100,68.610,0.01,2
0.721,0.01,19.270,99.860,99.280,100,3
0.684,0.01,36.730,84.290,82.750,100,3
0.737,49.540,19.900,90.900,90.900,100,3
0.727,123.457,10.500,82.980,82.390,100,3
0.687,62.305,0.01,0,0.01,0,1
0.734,580.004,13.230,100,97.540,100,2
0.696,0.01,10,77.420,75.650,88.890,3
0.735,0.01,18.670,67.510,66.330,100,3
0.697,32.536,9.290,100,100,100,4
0.675,34.572,0.600,99.170,99.170,100,4
0.759,112.086,33.100,100,100,100,3
0.728,36.739,20.810,98.740,87.260,100,3
0.634,23.495,26.080,64.990,35.170,92.950,2
0.710,42.238,41.190,95.410,95.410,100,3
0.699,132.690,16.570,78.890,78.890,100,3
0.698,0.01,1.490,89.480,89.480,100,4
0.682,50.050,13.100,100,98.850,100,3
0.698,44.944,3.230,100,100,96.770,4
0.727,235.650,36.150,100,92.550,100,2
0.729,26.546,31.800,74.120,51.790,100,2
0.764,48.978,61.760,98.300,92.400,29.870,1
0.692,137.661,24.950,63.670,41.550,100,2
0.712,17.290,23.050,98.460,100,100,3
0.729,15.182,45.160,82.570,70.050,100,2
0.746,17.671,46.020,99.790,90.420,10,1
